name,description,path,currency_base,currency_profit,digits,point,spread,trade_contract_size,volume_min,volume_max,swap_long,swap_short,margin_initial,visible
XAUUSD,Gold vs US Dollar / Spot,Metals\Spot Metals\XAUUSD,USD,USD,2,0.01,38,100.0,0.01,5.0,0.0,-57.54,0.0,True
XAGUSD,Silver vs US Dollar / Spot,Metals\Spot Metals\XAGUSD,USD,USD,4,0.0001,740,5000.0,0.01,5.0,0.0,-2.9699999999999998,0.0,True
DAXEUR,Germany 40 Index,Indices\Indices\DAXEUR,EUR,EUR,2,0.01,273,10.0,0.01,10.0,-4304.08,-3011.01,0.0,True
EURUSD,Euro vs US Dollar,FX\Forex\EURUSD,EUR,USD,5,1e-05,1,100000.0,0.01,20.0,-8.9,-3.83,0.0,True
GBPUSD,Great Britain Pound vs US Dollar,FX\Forex\GBPUSD,GBP,USD,5,1e-05,8,100000.0,0.01,20.0,-5.06,-9.71,0.0,True
AUDUSD,Australian Dollar vs US Dollar,FX\Forex\AUDUSD,AUD,USD,5,1e-05,2,100000.0,0.01,20.0,-5.96,-4.5,0.0,True
NZDUSD,New Zealand Dollar vs US Dollar,FX\Forex\NZDUSD,NZD,USD,5,1e-05,2,100000.0,0.01,20.0,-2.02,-2.13,0.0,True
USDJPY,US Dollar vs Japanese Yen,FX\Forex\USDJPY,USD,JPY,3,0.001,8,100000.0,0.01,20.0,-8.73,-27.96,0.0,True
USDCAD,US Dollar vs Canadian Dollar,FX\Forex\USDCAD,USD,CAD,5,1e-05,3,100000.0,0.01,20.0,-1.94,-6.36,0.0,True
USDCHF,US Dollar vs Swiss Franc,FX\Forex\USDCHF,USD,CHF,5,1e-05,1,100000.0,0.01,20.0,-6.06,-12.73,0.0,True
AUDCAD,Australian Dollar vs Canadian Dollar,FX\Forex\AUDCAD,AUD,CAD,5,1e-05,6,100000.0,0.01,20.0,-3.49,-0.94,0.0,True
AUDCHF,Australian Dollar vs Swiss Franc,FX\Forex\AUDCHF,AUD,CHF,5,1e-05,0,100000.0,0.01,20.0,-2.5,-6.42,0.0,False
AUDDKK,Australian Dollar vs Danish Krone,FX\Forex\AUDDKK,AUD,DKK,5,1e-05,0,100000.0,0.01,20.0,-2.79,-22.24,0.0,False
AUDHUF,Australian Dollar vs Hungarian Forint,FX\Forex\AUDHUF,AUD,HUF,3,0.001,0,100000.0,0.01,20.0,-35.86,-25.89,0.0,False
AUDJPY,Australian Dollar vs Japanese Yen,FX\Forex\AUDJPY,AUD,JPY,3,0.001,0,100000.0,0.01,20.0,-9.73,-14.15,0.0,False
AUDNOK,Australian Dollar vs Norwegian Krone,FX\Forex\AUDNOK,AUD,NOK,4,0.0001,0,100000.0,0.01,20.0,-0.33,-2.15,0.0,False
AUDNZD,Australian Dollar vs New Zealand Dollar,FX\Forex\AUDNZD,AUD,NZD,5,1e-05,0,100000.0,0.01,20.0,-5.8100000000000005,-1.03,0.0,False
AUDSEK,Australian Dollar to Swedish Krona,FX\Forex\AUDSEK,AUD,SEK,5,1e-05,0,100000.0,0.01,20.0,-0.64,-26.29,0.0,False
AUDSGD,Australian Dollar vs Singapore Dollar,FX\Forex\AUDSGD,AUD,SGD,5,1e-05,0,100000.0,0.01,20.0,-5.0,-3.0,0.0,False
AUDZAR,Australian Dollar African Rand,FX\Forex\AUDZAR,AUD,ZAR,5,1e-05,0,100000.0,0.01,20.0,-211.2,-109.48,0.0,False
CADCHF,Canadian Dollar vs Swiss Franc,FX\Forex\CADCHF,CAD,CHF,5,1e-05,0,100000.0,0.01,20.0,-3.94,-8.18,0.0,False
CADDKK,Canadian Dollar vs Danish Krone,FX\Forex\CADDKK,CAD,DKK,5,1e-05,0,100000.0,0.01,20.0,-16.09,-36.25,0.0,False
CADJPY,Canadian Dollar vs Japanese Yen,FX\Forex\CADJPY,CAD,JPY,3,0.001,0,100000.0,0.01,20.0,-12.67,-17.59,0.0,False
CADMXN,Canadian Dollar vs Mexican Peso,FX\Forex\CADMXN,CAD,MXN,4,0.0001,0,100000.0,0.01,20.0,-45.56,-31.57,0.0,False
CADNOK,Canadian Dollar vs Norwegian Krone,FX\Forex\CADNOK,CAD,NOK,4,0.0001,0,100000.0,0.01,20.0,-1.5699999999999998,-4.17,0.0,False
CADSEK,Canadian Dollar vs Swedish Krona,FX\Forex\CADSEK,CAD,SEK,5,1e-05,0,100000.0,0.01,20.0,-17.76,-46.25,0.0,False
CADSGD,Canadian Dollar vs Singapore Dollar,FX\Forex\CADSGD,CAD,SGD,5,1e-05,0,100000.0,0.01,20.0,-0.48,-6.19,0.0,False
CHFDKK,Swiss Frank vs Danish Krone,FX\Forex\CHFDKK,CHF,DKK,5,1e-05,0,100000.0,0.01,20.0,-62.89,-26.61,0.0,False
CHFHUF,Swiss Franc vs Hungarian Forint,FX\Forex\CHFHUF,CHF,HUF,3,0.001,0,100000.0,0.01,20.0,-94.19,-24.66,0.0,False
CHFJPY,Swiss Frank vs Japanese Yen,FX\Forex\CHFJPY,CHF,JPY,3,0.001,0,100000.0,0.01,20.0,-4.78,-10.97,0.0,False
CHFNOK,Swiss Franc vs Norwegian Krone,FX\Forex\CHFNOK,CHF,NOK,4,0.0001,0,100000.0,0.01,20.0,-8.95,-4.8100000000000005,0.0,False
CHFPLN,Swiss Franc vs Polish Zloty,FX\Forex\CHFPLN,CHF,PLN,5,1e-05,0,100000.0,0.01,20.0,-63.2,-39.59,0.0,False
CHFSEK,Swiss Franc to Swedish Krona,FX\Forex\CHFSEK,CHF,SEK,5,1e-05,0,100000.0,0.01,20.0,-82.53,-37.76,0.0,False
CHFSGD,Swiss Frank vs Singapore Dollar,FX\Forex\CHFSGD,CHF,SGD,5,1e-05,0,100000.0,0.01,20.0,-15.53,-4.41,0.0,False
CHFZAR,Swiss Frank vs South African Rand,FX\Forex\CHFZAR,CHF,ZAR,5,1e-05,0,100000.0,0.01,20.0,-496.96,-328.94,0.0,False
